title,price,kilometer,shangpai-date,chepai-location,standard,change-speed
奥迪-奥迪A7L 2016款 30周年年型 TFSI 进取型,23.80万,6.66万公里,4年2个月,茂名,国五,自动
奥迪-奥迪Q3 2015款 35 TFSI quattro 技术型,14.28万,2.47万公里,6年10个月,北京,国五,自动
奥迪-奥迪A7L 2017款 TFSI 技术型,21.80万,7.07万公里,6年,北京,国五,自动
奥迪-奥迪A7L 2016款 30周年年型 35 TFSI 时尚型,28.20万,5.77万公里,3年9个月,北京,国五,自动
奥迪-奥迪A7L 2020款 40 TFSI 豪华动感型,32.80万,3.87万公里,1年5个月,鹤壁,国六,自动
奥迪-奥迪A7L 2018款 TFSI 舒适型,24.50万,5.90万公里,5年,北京,国五,自动
奥迪-奥迪A6 2009款 A6L 4.2 FSI quattro 尊贵型,13.00万,15.89万公里,12年10个月,北京,国四,自动
奥迪-奥迪Q8 2016款 45 TFSI S line运动型,49.98万,2.33万公里,2年9个月,北京,国五,自动
奥迪-奥迪Q5 2012款 2.0TFSI 技术型,13.00万,5.10万公里,9年,北京,国四,自动
奥迪-奥迪A4L 2012款 2.0 TFSI 自动标准型,7.50万,14.67万公里,10年,无锡,国四,自动
奥迪-奥迪Q3 2015款 35 TFSI quattro 技术型,12.90万,8.85万公里,7年5个月,成都,国五,自动
奥迪-奥迪Q3 2015款 35 TFSI quattro 技术型,12.60万,11.18万公里,6年10个月,苏州,国五,自动
奥迪-奥迪Q3 2013款 35 TFSI 舒适型,10.55万,9.24万公里,8年10个月,北京,国四,自动
奥迪-奥迪A7L 2016款 30周年年型 30 FSI 风尚型,31.30万,9.14万公里,4年,北京,国五,自动
奥迪-奥迪A3 2014款 Limousine 35 TFSI 自动时尚型,10.98万,9.91万公里,6年,成都,国四,自动
奥迪-奥迪A3 2016款 30周年年型 Sportback 35 TFSI 进取型,10.80万,9.38万公里,4年,郑州,国五,自动
奥迪-奥迪A7L 2014款 TFSI 标准型,14.58万,9.64万公里,7年2个月,广州,国五,自动
奥迪-奥迪A4(进口) 2014款 40 TFSI allroad quattro plus版,18.80万,8.99万公里,5年4个月,南宁,国五,自动
奥迪-奥迪Q5 2017款 40 TFSI 舒适型,20.01万,10.02万公里,6年4个月,北京,国五,自动
奥迪-奥迪A4L 2012款 2.0 TFSI 自动标准型,9.58万,9.33万公里,10年4个月,北京,国四,自动
奥迪-奥迪Q5 2012款 2.0TFSI 舒适型,13.30万,10.92万公里,9年10个月,北京,国四,自动
奥迪-奥迪Q2L 2016款 35 TFSI 上市专享版,12.98万,1.81万公里,2年1个月,南京,国六,自动
奥迪-奥迪A7L 2019款 45 TFSI quattro 臻选动感型,35.28万,8.11万公里,2年6个月,北京,国六,自动
奥迪-奥迪A4L 2019款 40 TFSI 时尚型,20.50万,2.26万公里,2年11个月,云浮,国五,自动
奥迪-奥迪A7L 2019款 45 TFSI 臻选致雅型,33.28万,4.21万公里,2年9个月,北京,国五,自动
奥迪-奥迪A4L 2018款 40 TFSI 风尚型,18.98万,4.32万公里,5年2个月,苏州,国五,自动
奥迪-奥迪Q8 2013款 35 TFSI 舒适型,21.00万,12.62万公里,9年6个月,北京,国四,自动
奥迪-奥迪A7L 2018款 TFSI 技术型,25.80万,8.62万公里,5年3个月,北京,国五,自动
奥迪-奥迪Q3 2015款 35 TFSI 舒适型,12.68万,3.85万公里,7年,中山,国四,自动
奥迪-奥迪A7L 2010款 2.4L 舒适型,8.98万,9.64万公里,11年9个月,北京,国四,自动
奥迪-奥迪A7L 2011款 2.0 TFSI 自动标准型,9.48万,7.26万公里,10年7个月,北京,国四,自动
奥迪-奥迪Q5L 2021款 45 TFSI 豪华动感型,38.50万,0.22万公里,7个月,成都,国六,自动
奥迪-奥迪A4L 2013款 30 TFSI 自动舒适型,10.98万,13.40万公里,8年1个月,北京,国四,自动
奥迪-奥迪A7L 2010款 2.0 TFSI 自动标准型,6.15万,20.18万公里,12年4个月,北京,国四,自动
奥迪-奥迪Q3 2018款 30 TFSI 时尚型,15.50万,4.08万公里,3年7个月,成都,国五,自动
奥迪-奥迪A3 2017款 Limousine 35 TFSI 进取型,10.68万,5.05万公里,5年1个月,成都,国五,自动
奥迪-奥迪A7L 2018款 TFSI 技术型,21.00万,9.62万公里,5年4个月,北京,国五,自动
奥迪-奥迪S3 2018款 改款 S3 2.0T Limousine,27.20万,5.12万公里,4年4个月,北京,国五,自动
奥迪-奥迪Q5 2012款 2.0TFSI 舒适型,12.88万,9.78万公里,9年10个月,北京,国四,自动
奥迪-奥迪Q3 2016款 30周年年型 30 TFSI 时尚型,16.00万,4.35万公里,4年3个月,北京,国五,自动
奥迪-奥迪A7L 2009款 2.6 FSI quattro 豪华型,9.30万,6.59万公里,12年10个月,北京,国四,自动
奥迪-奥迪A4L 2015款 35 TFSI 自动标准型,14.40万,10.55万公里,6年11个月,成都,国五,自动
奥迪-奥迪A4L 2020款 40 TFSI 豪华动感型,26.50万,1.81万公里,1年9个月,徐州,国六,自动
奥迪-奥迪A3 2019款 Sportback 35 TFSI 进取型,12.50万,4.76万公里,2年10个月,沈阳,国五,自动
奥迪-奥迪Q8 2016款 45 TFSI 技术型,51.80万,8.64万公里,3年4个月,北京,国五,自动
奥迪-奥迪Q5 2015款 40 TFSI 技术型,17.20万,10.36万公里,7年4个月,济南,国五,自动
奥迪-奥迪Q8 2011款 3.0 TFSI 舒适型(245kW),22.80万,6.27万公里,10年10个月,北京,国四,自动
奥迪-奥迪A8 2018款 35 TFSI 时尚型,37.88万,1.11万公里,5年1个月,合肥,国五,自动
奥迪-奥迪A4L 2017款 35 TFSI 典藏版 S line豪华型,15.68万,10.75万公里,6年2个月,北京,国五,自动
奥迪-奥迪A4L 2019款 40 TFSI 时尚型,22.88万,4.28万公里,2年8个月,北京,国六,自动
奥迪-奥迪A4L 2019款 40 TFSI 时尚型,24.38万,4.47万公里,2年4个月,贵阳,国六,自动
奥迪-奥迪Q8 2010款 3.7 FSI quattro 基本型,14.60万,15.34万公里,12年5个月,北京,国四,自动
奥迪-奥迪A7L 2012款 50 TFSI quattro 豪华型,19.80万,9.62万公里,8年5个月,北京,国四,自动
奥迪-奥迪Q5 2012款 2.0TFSI 豪华型,13.98万,12.16万公里,9年2个月,北京,国四,自动
奥迪-奥迪A7(进口) 2018款 Avant 40 TFSI 运动型,28.28万,7.71万公里,4年5个月,贵阳,国五,自动
奥迪-奥迪A7L 2012款 35 FSI quattro 豪华型,22.00万,15.78万公里,7年10个月,北京,国四,自动
奥迪-奥迪Q5 2010款 2.0TFSI 舒适型,9.80万,12.02万公里,11年9个月,北京,国四,自动
奥迪-奥迪A3 2016款 30周年年型 Limousine 35 TFSI 进取型,13.80万,1.34万公里,3年4个月,北京,国五,自动
奥迪-奥迪A7L 2012款 35 FSI quattro 豪华型,22.00万,12.00万公里,7年10个月,北京,国四,自动
奥迪-奥迪Q5 2011款 2.0TFSI 舒适型,12.38万,11.23万公里,9年7个月,北京,国四,自动
奥迪-奥迪Q8 2013款 35 TFSI 进取型,20.90万,12.31万公里,8年9个月,北京,国五,自动
奥迪-奥迪A4 2006款 1.6T 自动豪华型,2.98万,18.70万公里,13年6个月,东莞,国四,自动
奥迪-奥迪A7L 2019款 40 TFSI 豪华动感型,31.60万,2.48万公里,2年6个月,成都,国六,自动
奥迪-奥迪A4L 2016款 30周年年型 40 TFSI 进取型,21.30万,8.73万公里,3年10个月,苏州,国五,自动
奥迪-奥迪S3 2015款 S3 2.0T Limousine,23.98万,5.60万公里,6年11个月,北京,国五,自动
奥迪-奥迪A4L 2013款 40 TFSI quattro运动型,14.38万,4.76万公里,9年,北京,国四,自动
奥迪-奥迪Q5L 2016款 45 TFSI 尊享时尚型,30.58万,7.81万公里,2年10个月,北京,国五,自动
